threshold,accuracy,precision_fraud,recall_fraud,f1_fraud,true_negatives,false_positives,false_negatives,true_positives
0.05,0.9461275119000164,0.902734854578553,1.0,0.9488813981688526,38052,4595,0,42647
0.1,0.9721434098529791,0.9472269728805277,1.0,0.9728983688833124,40271,2376,0,42647
0.15,0.9819916992988956,0.9652565582490211,0.9999765516917954,0.982309853964159,41112,1535,1,42646
0.2,0.9868572232513424,0.9746262515429982,0.9997420686097498,0.987024411700022,41537,1110,11,42636
0.25,0.9896475719276854,0.9805762680659118,0.999085515980022,0.98974436404604,41803,844,39,42608
0.3,0.9912772293479025,0.984887407715985,0.9978662039533848,0.9913343272456205,41994,653,91,42556
0.35,0.9921799892137783,0.9878899167867603,0.9965765470021338,0.9922142198461521,42126,521,146,42501
0.4,0.9925317138368467,0.9902212471994025,0.9948882688114052,0.9925492718872448,42228,419,218,42429
0.45,0.9924144722958238,0.9920567974131871,0.9927779210729946,0.9924172282449458,42308,339,308,42339
0.5,0.991711023049687,0.9935743539048157,0.9898234342392196,0.9916953472801381,42374,273,434,42213
0.55,0.990714469950993,0.9950325251330574,0.9863530846249443,0.9906737947763831,42437,210,582,42065
0.6,0.9894717096161512,0.9962439082372518,0.9826482519286234,0.989399376711682,42489,158,740,41907
0.65,0.9874434309564565,0.9971778436812399,0.9776537622810514,0.9873192910169432,42529,118,953,41694
0.7,0.9841606678078176,0.9980702431493632,0.9701972002720004,0.9839363637444563,42567,80,1271,41376
0.75,0.9794123853963936,0.9985612914238338,0.9602082209768565,0.9790092760830066,42588,59,1697,40950
0.8,0.9749806551457313,0.9988179960107365,0.9510868290852815,0.9743682137023157,42599,48,2086,40561
0.85,0.9705020282786597,0.9991293748911718,0.9418247473444791,0.9696311317110854,42612,35,2481,40166
0.9,0.9642296058339391,0.9993946120472202,0.9290219710647877,0.9629242566015724,42623,24,3027,39620
0.95,0.9550613173259549,0.9994595429277332,0.9106150491242057,0.9529710562801369,42626,21,3812,38835
